Arc Olympic Lifting Zones,05:16 PM,85,05:16 PM,85,05:16 PM,85,07:23 PM,86,07:23 PM,86,07:23 PM,07:23 PM
Arc Floor Two,05:16 PM,105,05:16 PM,105,05:16 PM,105,07:23 PM,103,07:23 PM,103,07:23 PM,07:23 PM
South Court,05:16 PM,0,05:16 PM,0,05:16 PM,0,07:23 PM,0,07:23 PM,0,07:23 PM,07:23 PM
Four Court Gym,05:17 PM,36,05:17 PM,36,05:17 PM,36,07:23 PM,37,07:23 PM,37,07:23 PM,07:23 PM
North Court,05:17 PM,0,05:17 PM,0,05:17 PM,0,07:23 PM,1,07:23 PM,1,07:23 PM,07:23 PM
Recreation Pool,06:05 PM,5,06:05 PM,5,06:57 PM,0,06:57 PM,0,06:57 PM,0,06:57 PM,06:57 PM
Competition Pool,06:05 PM,12,06:05 PM,12,06:57 PM,0,06:57 PM,0,06:57 PM,0,06:57 PM,06:57 PM
Arc Express,05:59 PM,37,06:30 PM,35,07:01 PM,28,07:30 PM,16,07:30 PM,16,08:08 PM,08:30 PM
Spa,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,01:03 PM
Aquaplex Pool Deck,06:06 PM,3,06:06 PM,3,06:57 PM,4,06:57 PM,4,08:03 PM,2,08:03 PM,08:03 PM
Tennis Courts,06:06 PM,6,06:06 PM,6,06:57 PM,0,06:57 PM,0,06:57 PM,0,06:57 PM,06:57 PM
Arc Floor One,143,07:23 PM,143,07:23 PM,143,07:23 PM,Open,143,10:08 PM,Open,133,11/29/2022
Climbing,17,07:23 PM,17,07:23 PM,17,07:23 PM,Open,17,10:09 PM,Closed,0,11/28/2022
Arc Olympic Lifting Zones,86,07:23 PM,86,07:23 PM,86,07:23 PM,Open,86,10:09 PM,Open,53,11/29/2022
Arc Floor Two,103,07:23 PM,103,07:23 PM,103,07:23 PM,Open,103,10:09 PM,Open,85,11/29/2022
South Court,0,07:23 PM,0,07:23 PM,0,07:23 PM,Open,0,10:09 PM,Open,0,11/29/2022
Four Court Gym,37,07:23 PM,37,07:23 PM,37,07:23 PM,Open,37,10:09 PM,Open,44,11/29/2022
North Court,1,07:23 PM,1,07:23 PM,1,07:23 PM,Open,1,10:09 PM,Open,4,11/29/2022
Recreation Pool,0,06:57 PM,0,06:57 PM,0,06:57 PM,Open,0,06:57 PM,Open,0,11/28/2022
Competition Pool,0,06:57 PM,0,06:57 PM,0,06:57 PM,Open,0,06:57 PM,Open,0,11/28/2022
Arc Express,19,09:00 PM,28,09:29 PM,14,09:57 PM,Closed,0,09:57 PM,Closed,0,11/28/2022
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,Closed,0,01:03 PM,Closed,0,11/28/2022
Aquaplex Pool Deck,2,08:03 PM,2,08:03 PM,2,08:03 PM,Open,2,08:03 PM,Open,2,11/28/2022
